ProductName,DiscountPrice,Image_Url,Category
"Tender Coconut Water - No Added Sugar, Flavours",288.00,https://www.bigbasket.com/media/uploads/p/l/1214884_9-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages
"Tender Coconut Water - No Added Sugar, Flavours",417.60,https://www.bigbasket.com/media/uploads/p/l/1214885_4-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages
"Tender Coconut Water - No Added Sugar, Flavours",806.40,https://www.bigbasket.com/media/uploads/p/l/1214886_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages
Original Extra Virgin Olive Oil,728.00,https://www.bigbasket.com/media/uploads/p/l/40006250_7-borges-extra-virgin-olive-oil.jpg,Gourmet & World Food
Extra Virgin Olive Oil,3060.00,https://www.bigbasket.com/media/uploads/p/l/40208261_1-borges-extra-virgin-olive-oil.jpg,Gourmet & World Food
Original Extra Virgin Olive Oil,1377.00,https://www.bigbasket.com/media/uploads/p/l/40191534_1-borges-extra-virgin-olive-oil.jpg,Gourmet & World Food
Frozen Green Peas,99.00,https://www.bigbasket.com/media/uploads/p/l/40192104_9-fresho-frozen-green-peas.jpg,Snacks & Branded Foods
Frozen Green Peas,378.00,https://www.bigbasket.com/media/uploads/p/l/1214513_9-fresho-frozen-green-peas.jpg,Snacks & Branded Foods
Frozen Green Peas,189.00,https://www.bigbasket.com/media/uploads/p/l/40163718_11-fresho-frozen-green-peas.jpg,Snacks & Branded Foods
Frozen Green Peas,198.00,https://www.bigbasket.com/media/uploads/p/l/1210065_9-fresho-frozen-green-peas.jpg,Snacks & Branded Foods
Tea - Natural Care,567.00,https://www.bigbasket.com/media/uploads/p/l/226491_10-red-label-tea-natural-care.jpg,Beverages
Tea - Natural Care,151.00,https://www.bigbasket.com/media/uploads/p/l/266615_12-red-label-tea-natural-care.jpg,Beverages
Tea - Natural Care,296.00,https://www.bigbasket.com/media/uploads/p/l/274791_12-red-label-tea-natural-care.jpg,Beverages
Tea - Natural Care,65.00,https://www.bigbasket.com/media/uploads/p/l/266583_10-red-label-tea-natural-care.jpg,Beverages
Carbon Zinc Battery Red HD AA 1015,261.90,https://www.bigbasket.com/media/uploads/p/l/1214632_2-eveready-carbon-zinc-battery-red-hd-aa-1015.jpg,"Kitchen, Garden & Pets"
Carbon Zinc Battery Red HD AA 1015,135.00,https://www.bigbasket.com/media/uploads/p/l/106417_2-eveready-carbon-zinc-battery-red-hd-aa-1015.jpg,"Kitchen, Garden & Pets"
Tea,730.00,https://www.bigbasket.com/media/uploads/p/l/137936_11-taj-mahal-tea.jpg,Beverages
Tea,391.00,https://www.bigbasket.com/media/uploads/p/l/266564_11-taj-mahal-tea.jpg,Beverages
Rich & Flavourful Tea,90.00,https://www.bigbasket.com/media/uploads/p/l/266597_12-taj-mahal-rich-flavourful-tea.jpg,Beverages
Tea,220.00,https://www.bigbasket.com/media/uploads/p/l/266551_8-taj-mahal-tea.jpg,Beverages
Ladies Finger (Loose),24.50,https://www.bigbasket.com/media/uploads/p/l/10000144_13-fresho-ladies-finger.jpg,Fruits & Vegetables
Ladies Finger (Loose),49.00,https://www.bigbasket.com/media/uploads/p/l/10000142_16-fresho-ladies-finger.jpg,Fruits & Vegetables
Ladies Finger (Loose),12.25,https://www.bigbasket.com/media/uploads/p/l/10000143_14-fresho-ladies-finger.jpg,Fruits & Vegetables
"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",105.00,https://www.bigbasket.com/media/uploads/p/l/265378_14-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets"
"Dry Dog Food - Chicken & Vegetables, For Adult Dogs",256.50,https://www.bigbasket.com/media/uploads/p/l/256652_14-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets"
"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",1223.20,https://www.bigbasket.com/media/uploads/p/l/40021902_16-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets"
"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",562.00,https://www.bigbasket.com/media/uploads/p/l/30005107_17-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets"
"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",2686.00,https://www.bigbasket.com/media/uploads/p/l/30005108_18-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets"
"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",1887.00,https://www.bigbasket.com/media/uploads/p/l/130331_16-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets"
Antiseptic Disinfectant Liquid,66.55,https://www.bigbasket.com/media/uploads/p/l/253537_9-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene
Antiseptic Disinfectant Liquid,127.77,https://www.bigbasket.com/media/uploads/p/l/253539_10-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene
Antiseptic Disinfectant Liquid,214.06,https://www.bigbasket.com/media/uploads/p/l/208003_11-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene
Antiseptic Disinfectant Liquid,1641.59,https://www.bigbasket.com/media/uploads/p/l/40005079_6-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene
Antiseptic Disinfectant Liquid,331.41,https://www.bigbasket.com/media/uploads/p/l/40124254_9-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene
Antiseptic Disinfectant Liquid,33.27,https://www.bigbasket.com/media/uploads/p/l/253535_7-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene
Cumin/Jeera/Jeerige - Whole,380.00,https://www.bigbasket.com/media/uploads/p/l/40030808_10-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala"
Cumin/Jeera/Jeerige - Whole,192.00,https://www.bigbasket.com/media/uploads/p/l/40026603_9-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala"
Cumin/Jeera/Jeerige - Whole,20.00,https://www.bigbasket.com/media/uploads/p/l/30000308_10-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala"
Cumin/Jeera/Jeerige - Whole,78.00,https://www.bigbasket.com/media/uploads/p/l/10000486_14-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala"
Cumin/Jeera/Jeerige - Whole,40.00,https://www.bigbasket.com/media/uploads/p/l/10000479_13-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala"
GoodLife UHT Treated Toned Milk,28.00,https://www.bigbasket.com/media/uploads/p/l/242671_1-nandini-goodlife-toned-milk.jpg,"Bakery, Cakes & Dairy"
"Adult Gravy DogÂ Food - Chicken & Liver Chunks In Gravy, 25 RsÂ Off Value Pack",494.00,https://www.bigbasket.com/media/uploads/p/l/70001924_13-pedigree-adult-gravy-doga-food-chicken-liver-chunks-in-gravy-25-rsa-off-value-pack.jpg,"Kitchen, Garden & Pets"
GoodLife UHT Treated Toned Milk,60.00,https://www.bigbasket.com/media/uploads/p/l/100285703_15-nandini-goodlife-toned-milk.jpg,"Bakery, Cakes & Dairy"
"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",527.00,https://www.bigbasket.com/media/uploads/p/l/240065_14-tata-tea-gold-tea.jpg,Beverages
Tea,145.00,https://www.bigbasket.com/media/uploads/p/l/263642_19-tata-tea-gold-tea.jpg,Beverages
"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",232.00,https://www.bigbasket.com/media/uploads/p/l/240067_19-tata-tea-gold-tea.jpg,Beverages
Tea,40.00,https://www.bigbasket.com/media/uploads/p/l/264565_4-tata-tea-gold-tea.jpg,Beverages
Tea,708.00,https://www.bigbasket.com/media/uploads/p/l/40200082_3-tata-tea-gold-tea.jpg,Beverages
Sun Lite - Sunflower Refined Oil,181.00,https://www.bigbasket.com/media/uploads/p/l/274145_14-fortune-sun-lite-sunflower-refined-oil.jpg,"Foodgrains, Oil & Masala"
Sunflower Refined Oil - Sun Lite,534.00,https://www.bigbasket.com/media/uploads/p/l/1204455_2-fortune-sunflower-refined-oil-sun-lite.jpg,"Foodgrains, Oil & Masala"
Cream Beauty Bathing Bar,128.00,https://www.bigbasket.com/media/uploads/p/l/1203041_2-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
